1,1,2,44
1,1,142,44
1,1,89,49
1,10,2,65
1,10,142,55
1,10,89,44
1,20,2,31
1,20,142,6
1,20,89,23
1,30,2,9
1,30,142,34
1,30,89,21
1,40,2,29
1,40,142,13
1,40,89,12
1,50,2,9
1,50,142,8
1,50,89,11
1,60,2,5
1,60,142,7
1,60,89,38
1,70,2,7
1,70,142,6
1,70,89,11
1,80,2,9
1,80,142,11
1,80,89,6
1,90,2,15
1,90,142,11
1,90,89,6
1,100,2,5
1,100,142,6
1,100,89,5
1,110,2,11
1,110,142,26
1,110,89,7
1,120,2,5
1,120,142,8
1,120,89,8
1,130,2,6
1,130,142,5
1,130,89,10
1,140,2,5
1,140,142,6
1,140,89,6
1,150,2,6
1,150,142,6
1,150,89,8
1,160,2,5
1,160,142,8
1,160,89,6
1,170,2,7
1,170,142,7
1,170,89,6
1,180,2,7
1,180,142,29
1,180,89,6
1,190,2,6
1,190,142,6
1,190,89,6
1,200,2,6
1,200,142,5
1,200,89,6
1,210,2,5
1,210,142,5
1,210,89,6
1,220,2,5
1,220,142,6
1,220,89,5
1,230,2,6
1,230,142,9
1,230,89,6
1,240,2,5
1,240,142,5
1,240,89,5
1,250,2,6
1,250,142,6
1,250,89,6
50,1,2,760
50,1,142,787
50,1,89,2821
50,10,2,1437
50,10,142,416
50,10,89,311
50,20,2,149
50,20,142,165
50,20,89,859
50,30,2,951
50,30,142,215
50,30,89,1610
50,40,2,1692
50,40,142,4127
50,40,89,141
50,50,2,118
50,50,142,123
50,50,89,96
50,60,2,55
50,60,142,66
50,60,89,1076
50,70,2,69
50,70,142,77
50,70,89,44
50,80,2,39
50,80,142,128
50,80,89,35
50,90,2,30
50,90,142,30
50,90,89,24
50,100,2,38
50,100,142,79
50,100,89,44
50,110,2,22
50,110,142,95
50,110,89,26
50,120,2,13
50,120,142,39
50,120,89,38
50,130,2,39
50,130,142,34
50,130,89,47
50,140,2,16
50,140,142,19
50,140,89,23
50,150,2,22
50,150,142,30
50,150,89,27
50,160,2,20
50,160,142,31
50,160,89,42
50,170,2,17
50,170,142,21
50,170,89,54
50,180,2,17
50,180,142,31
50,180,89,31
50,190,2,17
50,190,142,15
50,190,89,16
50,200,2,10
50,200,142,14
50,200,89,28
50,210,2,24
50,210,142,11
50,210,89,21
50,220,2,11
50,220,142,11
50,220,89,12
50,230,2,12
50,230,142,14
50,230,89,22
50,240,2,29
50,240,142,33
50,240,89,30
50,250,2,9
50,250,142,11
50,250,89,34
100,1,2,2911
100,1,142,2059
100,1,89,3247
100,10,2,2453
100,10,142,1601
100,10,89,1792
100,20,2,1639
100,20,142,228
100,20,89,1880
100,30,2,2550
100,30,142,216
100,30,89,206
100,40,2,102
100,40,142,302
100,40,89,144
100,50,2,90
100,50,142,192
100,50,89,179
100,60,2,121
100,60,142,101
100,60,89,144
100,70,2,75
100,70,142,116
100,70,89,84
100,80,2,118
100,80,142,110
100,80,89,104
100,90,2,51
100,90,142,138
100,90,89,102
100,100,2,1672
100,100,142,52
100,100,89,91
100,110,2,45
100,110,142,218
100,110,89,68
100,120,2,49
100,120,142,63
100,120,89,35
100,130,2,36
100,130,142,40
100,130,89,49
100,140,2,197
100,140,142,28
100,140,89,65
100,150,2,134
100,150,142,85
100,150,89,56
100,160,2,29
100,160,142,51
100,160,89,35
100,170,2,26
100,170,142,23
100,170,89,79
100,180,2,52
100,180,142,47
100,180,89,40
100,190,2,39
100,190,142,39
100,190,89,89
100,200,2,17
100,200,142,17
100,200,89,30
100,210,2,24
100,210,142,20
100,210,89,40
100,220,2,41
100,220,142,19
100,220,89,22
100,230,2,29
100,230,142,19
100,230,89,21
100,240,2,20
100,240,142,18
100,240,89,29
100,250,2,33
100,250,142,40
100,250,89,20
150,1,2,713
150,1,142,1409
150,1,89,682
150,10,2,343
150,10,142,1390
150,10,89,268
150,20,2,380
150,20,142,1281
150,20,89,309
150,30,2,1945
150,30,142,1014
150,30,89,1125
150,40,2,946
150,40,142,1245
150,40,89,135
150,50,2,296
150,50,142,1241
150,50,89,109
150,60,2,94
150,60,142,1112
150,60,89,169
150,70,2,148
150,70,142,130
150,70,89,218
150,80,2,54
150,80,142,211
150,80,89,118
150,90,2,119
150,90,142,118
150,90,89,232
150,100,2,60
150,100,142,125
150,100,89,61
150,110,2,140
150,110,142,131
150,110,89,54
150,120,2,52
150,120,142,118
150,120,89,49
150,130,2,71
