2,2,94
2,4,96
2,6,92
2,8,80
2,10,83
2,12,85
2,14,85
2,16,89
2,18,74
2,20,74
2,22,86
2,24,74
2,26,74
2,28,74
2,30,74
2,32,74
2,34,74
2,36,74
2,38,74
2,40,74
2,42,74
2,44,74
2,46,74
2,48,74
2,50,74
2,52,74
2,54,74
2,56,74
2,58,74
2,60,74
2,62,84
2,64,74
2,66,89
2,68,74
2,70,88
4,2,16607
4,4,101
4,6,129
4,8,100
4,10,90
4,12,115
4,14,83
4,16,90
4,18,83
4,20,102
4,22,92
4,24,83
4,26,87
4,28,83
4,30,83
4,32,102
4,34,83
4,36,101
4,38,83
4,40,102
4,42,83
4,44,83
4,46,83
4,48,87
4,50,83
4,52,83
4,54,83
4,56,83
4,58,83
4,60,83
4,62,83
4,64,83
4,66,92
4,68,83
4,70,83
6,2,6803
6,4,7433
6,6,42
6,8,101
6,10,49
6,12,109
6,14,44
6,16,103
6,18,45
6,20,45
6,22,47
6,24,52
6,26,44
6,28,50
6,30,51
6,32,50
6,34,44
6,36,44
6,38,44
6,40,45
6,42,44
6,44,44
6,46,44
6,48,44
6,50,44
6,52,44
6,54,44
6,56,44
6,58,44
6,60,44
6,62,44
6,64,44
6,66,44
6,68,44
6,70,44
8,2,1004
8,4,2943
8,6,621
8,8,112
8,10,102
8,12,114
8,14,124
8,16,100
8,18,100
8,20,82
8,22,91
8,24,86
8,26,100
8,28,101
8,30,101
8,32,102
8,34,78
8,36,78
8,38,84
8,40,82
8,42,78
8,44,96
8,46,78
8,48,79
8,50,97
8,52,78
8,54,87
8,56,83
8,58,81
8,60,84
8,62,101
8,64,87
8,66,92
8,68,78
8,70,95
10,2,1854
10,4,3944
10,6,1709
10,8,115
10,10,144
10,12,46
10,14,132
10,16,97
10,18,151
10,20,117
10,22,42
10,24,46
10,26,42
10,28,42
10,30,42
10,32,42
10,34,42
10,36,42
10,38,42
10,40,42
10,42,42
10,44,42
10,46,42
10,48,42
10,50,42
10,52,42
10,54,42
10,56,42
10,58,42
10,60,42
10,62,42
10,64,42
10,66,42
10,68,42
10,70,42
12,2,815
12,4,1693
12,6,9120
12,8,970
12,10,224
12,12,97
12,14,46
12,16,164
12,18,46
12,20,54
12,22,114
12,24,47
12,26,81
12,28,47
12,30,46
12,32,46
12,34,47
12,36,46
12,38,46
12,40,46
12,42,46
12,44,46
12,46,46
12,48,46
12,50,46
12,52,46
12,54,46
12,56,46
12,58,46
12,60,46
12,62,46
12,64,46
12,66,46
12,68,46
12,70,46
14,2,771
14,4,161
14,6,8292
14,8,3232
14,10,113
14,12,140
14,14,229
14,16,119
14,18,95
14,20,112
14,22,105
14,24,105
14,26,108
14,28,114
14,30,107
14,32,96
14,34,98
14,36,103
14,38,113
14,40,102
14,42,107
14,44,95
14,46,95
14,48,97
14,50,99
14,52,96
14,54,95
14,56,95
14,58,96
14,60,95
14,62,94
14,64,96
14,66,95
14,68,95
14,70,101
16,2,1620
16,4,1779
16,6,2219
16,8,1689
16,10,227
16,12,4792
16,14,213
16,16,127
16,18,106
16,20,125
16,22,137
16,24,95
16,26,157
